module	term	meaning	use	phase
foundation	Python	一种通用编程语言，AI 领域许多数据、训练和应用工具通过它使用。	处理数据、运行实验、编写工具。	0
foundation	Git / Docker	Git 记录和协作管理代码版本；Docker 打包程序及运行依赖，减少环境差异。	回退改动、共享实验环境。	0
foundation	向量 / 矩阵 / 张量	向量是一组数字，矩阵是二维数字表，张量是更一般的多维数组。	表示像素、文字特征与模型参数。	1
foundation	概率与统计	概率描述不确定性；统计从样本估计总体规律并评价估计的不确定性。	理解预测、数据分布与实验差异。	1
foundation	ML 机器学习	通过数据学习映射或结构，而不是为每一种情况手写规则。	分类、销量预测、异常检测。	2
foundation	监督学习 / 无监督学习	监督学习利用带目标答案的数据；无监督学习从没有这些目标标签的数据中寻找结构。	垃圾邮件分类；用户聚类。	2
foundation	特征工程	将原始数据转换为更适合模型利用的信息。	从订单日期提取星期与节假日特征。	2
foundation	训练集 / 验证集 / 测试集	训练集用于拟合参数，验证集用于开发选择，测试集用于最后的相对独立评估。	避免反复根据测试答案调参而高估效果。	2
foundation	神经网络 / 深度学习	神经网络通过参数化层组合学习映射；深度学习使用较深的网络结构。	学习语言、图像和声音中的复杂模式。	3
foundation	Loss 损失函数	将输出与训练目标之间的差距转换成可优化的数值。	衡量模型在当前训练目标上错了多少。	3
foundation	梯度 / 反向传播	梯度描述参数变化怎样影响损失；反向传播利用链式法则高效计算梯度。	决定模型参数更新的方向。	3
foundation	Optimizer 优化器	根据梯度等信息更新参数的算法，例如 SGD、Adam。	逐步改善训练目标。	3
foundation	学习率	控制每次参数更新幅度的重要超参数。	过大可能不稳定，过小可能训练缓慢。	3
foundation	过拟合 / 正则化	过拟合是过度适应训练样本；正则化是一类限制模型复杂度或改善泛化的办法。	减少训练表现好、遇到新样本就差的情况。	3
foundation	PyTorch / JAX	提供张量运算、自动求导与硬件加速等能力的计算工具。	从手写小算法扩展到完整训练实验。	3
perception	CV 计算机视觉	从图像和视频中提取对象、结构、位置与语义。	看图、质量检测、视频分析。	4
perception	CNN 卷积神经网络	使用可学习的局部滤波器提取特征的网络。	学习图像中的边缘、纹理与对象特征。	4
